Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Anytime-valid,86,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,86,0.388,0.00689138592737339,0.37449288358234817,0.40150711641765185,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,87,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,87,0.3894,0.006895906611896655,0.3758840230406826,0.40291597695931747,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,88,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,88,0.3904,0.006899099071617974,0.3768777658196288,0.40392223418037126,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,89,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,89,0.3908,0.006900367526443791,0.37727527964817015,0.4043247203518298,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,90,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,90,0.3928,0.006906636808172267,0.37926299185598233,0.40633700814401763,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,91,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,91,0.3934,0.006908493902436334,0.37985935195122483,0.4069406480487752,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,92,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,92,0.394,0.00691034007846213,0.38045573344621425,0.4075442665537858,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,93,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,93,0.3952,0.006913999710731843,0.3816485605669656,0.4087514394330344,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,94,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,94,0.3966,0.006918214220447355,0.38304030012792317,0.41015969987207684,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,95,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,95,0.3972,0.006920002312138343,0.38363679546820884,0.41076320453179116,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,96,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,96,0.3976,0.006921188337272726,0.3840344708589455,0.41116552914105453,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,97,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,97,0.3982,0.006922958327189324,0.3846310016787089,0.4117689983212911,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,98,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,98,0.3984,0.0069235459123197845,0.3848298500118532,0.41197014998814674,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,99,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,99,0.399,0.006925301437482704,0.3854264091825339,0.41257359081746614,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,100,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,100,0.4,0.0069282032302755096,0.38642072166866004,0.41357927833134,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,101,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,101,0.4008,0.0069305030120475385,0.3872162140963868,0.4143837859036132,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,102,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,102,0.4012,0.006931645692041681,0.3876139744435983,0.4147860255564017,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,103,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,103,0.402,0.0069339166421294686,0.38840952338142626,0.4155904766185738,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,104,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,104,0.4028,0.006936168394726299,0.38920510994633645,0.41639489005366354,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,105,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,105,0.4034,0.006937844622071036,0.38980182454074075,0.4169981754592592,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,106,0,0,0,0,0.995,303.8730841675049,2500,5000
